Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CERRO VERDE;[SHOSUKI153T6] SHORT PLAYA ESTAMPADO KIDS (SAL, 6);SHOSUKI153T6;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;6;4,00
CERRO VERDE;[SHOSUKI154T6] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 6);SHOSUKI154T6;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;6;2,00
CERRO VERDE;[SHOSUKI156T6] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 6);SHOSUKI156T6;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;6;3,00
CERRO VERDE;[SHOSUKI156T4] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 4);SHOSUKI156T4;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;4;4,00
CERRO VERDE;[SHOSUKI153T4] SHORT PLAYA ESTAMPADO KIDS (SAL, 4);SHOSUKI153T4;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;4;4,00
CERRO VERDE;[SHOSUKI154T4] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 4);SHOSUKI154T4;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;4;4,00
CERRO VERDE;[SHOSUKI153T2] SHORT PLAYA ESTAMPADO KIDS (SAL, 2);SHOSUKI153T2;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;2;1,00
CERRO VERDE;[SHOSUKI156T2] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 2);SHOSUKI156T2;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;2;3,00
CERRO VERDE;[SHOSUKI154T2] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 2);SHOSUKI154T2;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;2;5,00
CERRO VERDE;[SHOSUKI153T1] SHORT PLAYA ESTAMPADO KIDS (SAL, 1);SHOSUKI153T1;SHORT PLAYA ESTAMPADO KIDS;Kids;Sal;1;3,00
CERRO VERDE;[SHOSUKI156T1] SHORT PLAYA ESTAMPADO KIDS (TUCUPIDO, 1);SHOSUKI156T1;SHORT PLAYA ESTAMPADO KIDS;Kids;Tucupido;1;4,00
CERRO VERDE;[SHOSUKI154T1] SHORT PLAYA ESTAMPADO KIDS (SOMBRERO, 1);SHOSUKI154T1;SHORT PLAYA ESTAMPADO KIDS;Kids;Sombrero;1;5,00
CERRO VERDE;[SHOSUKI155T1] SHORT PLAYA ESTAMPADO KIDS (PLAYUELA, 1);SHOSUKI155T1;SHORT PLAYA ESTAMPADO KIDS;Kids;Playuela;1;3,00
CERRO VERDE;[SHOUNKI57T6] SHORT PLAYA KIDS (Terracota, 6);SHOUNKI57T6;SHORT PLAYA KIDS;Kids;Terracota;6;1,00
CERRO VERDE;[SHOSUCA153TL] SHORT PLAYA ESTAMPADO CAB (SAL, L);SHOSUCA153TL;SHORT PLAYA ESTAMPADO CAB;Caballero;Sal;L;1,00
CERRO VERDE;[SHOSUCA156TS] SHORT PLAYA ESTAMPADO CAB (TUCUPIDO, S);SHOSUCA156TS;SHORT PLAYA ESTAMPADO CAB;Caballero;Tucupido;S;2,00
CERRO VERDE;[SHOUNCA186T2XL] SHORT PLAYA CAB (Azul Verdoso, 2XL);SHOUNCA186T2XL;SHORT PLAYA CAB;Caballero;Azul Verdoso;2XL;2,00
CERRO VERDE;[SHOUNCA170TM] SHORT PLAYA CAB (Cereza, M);SHOUNCA170TM;SHORT PLAYA CAB;Caballero;Cereza;M;6,00
CERRO VERDE;[SHOUNCA186TM] SHORT PLAYA CAB (Azul Verdoso, M);SHOUNCA186TM;SHORT PLAYA CAB;Caballero;Azul Verdoso;M;9,00
CERRO VERDE;[SHOSUCA155TM] SHORT PLAYA ESTAMPADO CAB (PLAYUELA, M);SHOSUCA155TM;SHORT PLAYA ESTAMPADO CAB;Caballero;Playuela;M;-1,00
