Ubicación;Producto;SKU;Modelo;Genero;Color;talla;Cantidad en inventario
GRANDPLAZ;[PANNTCA43TM] EXPLORE PANTS CAB (Negro, M);PANNTCA43TM;EXPLORE PANTS CAB;Caballero;Negro;M;1,00
GRANDPLAZ;[PANNTCA43TL] EXPLORE PANTS CAB (Negro, L);PANNTCA43TL;EXPLORE PANTS CAB;Caballero;Negro;L;6,00
GRANDPLAZ;[PANNTCA66TM] EXPLORE PANTS CAB (Verde Militar, M);PANNTCA66TM;EXPLORE PANTS CAB;Caballero;Verde Militar;M;2,00
GRANDPLAZ;[PANNTCA66TL] EXPLORE PANTS CAB (Verde Militar, L);PANNTCA66TL;EXPLORE PANTS CAB;Caballero;Verde Militar;L;1,00
GRANDPLAZ;[PANNTCA12TL] EXPLORE PANTS CAB (Azul Marino, L);PANNTCA12TL;EXPLORE PANTS CAB;Caballero;Azul Marino;L;1,00
GRANDPLAZ;[PANNTDA12TXS] EXPLORE PANTS DAMA (Azul Marino, XS);PANNTDA12TXS;EXPLORE PANTS DAMA;Dama;Azul Marino;XS;2,00
GRANDPLAZ;[PANNTDA43TS] EXPLORE PANTS DAMA (Negro, S);PANNTDA43TS;EXPLORE PANTS DAMA;Dama;Negro;S;2,00
GRANDPLAZ;[PANNTDA43TL] EXPLORE PANTS DAMA (Negro, L);PANNTDA43TL;EXPLORE PANTS DAMA;Dama;Negro;L;2,00
GRANDPLAZ;[PANNTDA43TM] EXPLORE PANTS DAMA (Negro, M);PANNTDA43TM;EXPLORE PANTS DAMA;Dama;Negro;M;2,00
GRANDPLAZ;[PANNTCA33TS] EXPLORE PANTS CAB (Kaki, S);PANNTCA33TS;EXPLORE PANTS CAB;Caballero;Kaki;S;2,00
GRANDPLAZ;[PANNTDA43TM] EXPLORE PANTS DAMA (Negro, M);PANNTDA43TM;EXPLORE PANTS DAMA;Dama;Negro;M;2,00
GRANDPLAZ;[PANNTDA43TL] EXPLORE PANTS DAMA (Negro, L);PANNTDA43TL;EXPLORE PANTS DAMA;Dama;Negro;L;1,00
GRANDPLAZ;[PANNTDA66TXS] EXPLORE PANTS DAMA (Verde Militar, XS);PANNTDA66TXS;EXPLORE PANTS DAMA;Dama;Verde Militar;XS;2,00
GRANDPLAZ;[PANNTDA31TXS] EXPLORE PANTS DAMA (Gris Oscuro, XS);PANNTDA31TXS;EXPLORE PANTS DAMA;Dama;Gris Oscuro;XS;2,00
GRANDPLAZ;[PANNTDA30TL] EXPLORE PANTS DAMA (Gris Claro, L);PANNTDA30TL;EXPLORE PANTS DAMA;Dama;Gris Claro;L;1,00
GRANDPLAZ;[PANNTDA66TXL] EXPLORE PANTS DAMA (Verde Militar, XL);PANNTDA66TXL;EXPLORE PANTS DAMA;Dama;Verde Militar;XL;1,00
