Año;Mes;modelo;Variante del producto;SKU;GENERO;COLOR;TALLA;tienda / ubicación;Cant. ordenada;fecha (mes año)
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CAB;Verde Militar;S;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TS] CLASICA DAILY 3.0 CAB (Blanco, S);DAYCSTCA16TS;CAB;Blanco;S;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TL] CLASICA DAILY 3.0 DAMA (Blanco, L);DAYCSTDA16TL;DAMA;Blanco;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TL] CLASICA DAILY 3.0 CAB (Verde Militar, L);DAYCSTCA66TL;CAB;Verde Militar;L;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TXL] CLASICA DAILY 3.0 CAB (Blanco, XL);DAYCSTCA16TXL;CAB;Blanco;XL;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TXL] CLASICA DAILY 3.0 CAB (Negro, XL);DAYCSTCA43TXL;CAB;Negro;XL;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TXL] CLASICA DAILY 3.0 CAB (Verde Militar, XL);DAYCSTCA66TXL;CAB;Verde Militar;XL;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TS] CLASICA DAILY 3.0 CAB (Blanco, S);DAYCSTCA16TS;CAB;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;Sambil Chacao ;2;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TL] CLASICA DAILY 3.0 CAB (Blanco, L);DAYCSTCA16TL;CAB;Blanco;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TL] CLASICA DAILY 3.0 DAMA (Negro, L);DAYCSTDA43TL;DAMA;Negro;L;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TXL] CLASICA DAILY 3.0 DAMA (Negro, XL);DAYCSTDA43TXL;DAMA;Negro;XL;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TL] CLASICA DAILY 3.0 DAMA (Blanco, L);DAYCSTDA16TL;DAMA;Blanco;L;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43T2XL] CLASICA DAILY 3.0 CAB (Negro, 2XL);DAYCSTCA43T2XL;CAB;Negro;2XL;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CAB;Blanco;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TS] CLASICA DAILY 3.0 CAB (Blanco, S);DAYCSTCA16TS;CAB;Blanco;S;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CAB;Verde Militar;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;La Grieta;-1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16T2XL] CLASICA DAILY 3.0 CAB (Blanco, 2XL);DAYCSTCA16T2XL;CAB;Blanco;2XL;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CAB;Verde Militar;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CAB;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TXS] CLASICA DAILY 3.0 DAMA (Negro, XS);DAYCSTDA43TXS;DAMA;Negro;XS;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TL] CLASICA DAILY 3.0 CAB (Verde Militar, L);DAYCSTCA66TL;CAB;Verde Militar;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TXS] CLASICA DAILY 3.0 DAMA (Blanco, XS);DAYCSTDA16TXS;DAMA;Blanco;XS;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CAB;Verde Militar;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CAB;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TXL] CLASICA DAILY 3.0 CAB (Blanco, XL);DAYCSTCA16TXL;CAB;Blanco;XL;La Grieta;2;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TXS] CLASICA DAILY 3.0 DAMA (Negro, XS);DAYCSTDA43TXS;DAMA;Negro;XS;Sambil Valencia;2;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TS] CLASICA DAILY 3.0 CAB (Blanco, S);DAYCSTCA16TS;CAB;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TXS] CLASICA DAILY 3.0 DAMA (Negro, XS);DAYCSTDA43TXS;DAMA;Negro;XS;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TXS] CLASICA DAILY 3.0 DAMA (Blanco, XS);DAYCSTDA16TXS;DAMA;Blanco;XS;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CAB;Negro;S;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CAB;Negro;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TL] CLASICA DAILY 3.0 CAB (Blanco, L);DAYCSTCA16TL;CAB;Blanco;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CAB;Blanco;M;Tolon;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CAB;Verde Militar;S;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TXL] CLASICA DAILY 3.0 CAB (Verde Militar, XL);DAYCSTCA66TXL;CAB;Verde Militar;XL;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CAB;Blanco;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CAB;Blanco;M;Tolon;0;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CAB;Negro;S;La Grieta;2;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CAB;Verde Militar;S;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TXL] CLASICA DAILY 3.0 CAB (Verde Militar, XL);DAYCSTCA66TXL;CAB;Verde Militar;XL;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TXS] CLASICA DAILY 3.0 DAMA (Verde Militar, XS);DAYCSTDA66TXS;DAMA;Verde Militar;XS;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TXL] CLASICA DAILY 3.0 CAB (Negro, XL);DAYCSTCA43TXL;CAB;Negro;XL;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TXS] CLASICA DAILY 3.0 DAMA (Negro, XS);DAYCSTDA43TXS;DAMA;Negro;XS;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TXS] CLASICA DAILY 3.0 DAMA (Verde Militar, XS);DAYCSTDA66TXS;DAMA;Verde Militar;XS;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TL] CLASICA DAILY 3.0 DAMA (Blanco, L);DAYCSTDA16TL;DAMA;Blanco;L;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TXL] CLASICA DAILY 3.0 CAB (Negro, XL);DAYCSTCA43TXL;CAB;Negro;XL;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TXS] CLASICA DAILY 3.0 DAMA (Blanco, XS);DAYCSTDA16TXS;DAMA;Blanco;XS;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;Cerro Verde ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CAB;Negro;S;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CAB;Verde Militar;S;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TS] CLASICA DAILY 3.0 DAMA (Verde Militar, S);DAYCSTDA66TS;DAMA;Verde Militar;S;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TXS] CLASICA DAILY 3.0 DAMA (Negro, XS);DAYCSTDA43TXS;DAMA;Negro;XS;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TXL] CLASICA DAILY 3.0 CAB (Negro, XL);DAYCSTCA43TXL;CAB;Negro;XL;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;Cerro Verde ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TL] CLASICA DAILY 3.0 DAMA (Blanco, L);DAYCSTDA16TL;DAMA;Blanco;L;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Grieta;-1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TM] CLASICA DAILY 3.0 DAMA (Blanco, M);DAYCSTDA16TM;DAMA;Blanco;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TXL] CLASICA DAILY 3.0 CAB (Blanco, XL);DAYCSTCA16TXL;CAB;Blanco;XL;Sambil Valencia;-1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TS] CLASICA DAILY 3.0 CAB (Negro, S);DAYCSTCA43TS;CAB;Negro;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TXL] CLASICA DAILY 3.0 CAB (Blanco, XL);DAYCSTCA16TXL;CAB;Blanco;XL;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TM] CLASICA DAILY 3.0 CAB (Verde Militar, M);DAYCSTCA66TM;CAB;Verde Militar;M;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Tolon;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16T2XL] CLASICA DAILY 3.0 CAB (Blanco, 2XL);DAYCSTCA16T2XL;CAB;Blanco;2XL;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TS] CLASICA DAILY 3.0 DAMA (Verde Militar, S);DAYCSTDA66TS;DAMA;Verde Militar;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TM] CLASICA DAILY 3.0 DAMA (Verde Militar, M);DAYCSTDA66TM;DAMA;Verde Militar;M;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;La Vela;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA66TS] CLASICA DAILY 3.0 CAB (Verde Militar, S);DAYCSTCA66TS;CAB;Verde Militar;S;Tolon;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TXS] CLASICA DAILY 3.0 DAMA (Verde Militar, XS);DAYCSTDA66TXS;DAMA;Verde Militar;XS;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Grieta;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;Cerro Verde ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA66TL] CLASICA DAILY 3.0 DAMA (Verde Militar, L);DAYCSTDA66TL;DAMA;Verde Militar;L;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTDA16TS] CLASICA DAILY 3.0 DAMA (Blanco, S);DAYCSTDA16TS;DAMA;Blanco;S;Sambil Valencia;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA16TL] CLASICA DAILY 3.0 CAB (Blanco, L);DAYCSTCA16TL;CAB;Blanco;L;Sambil Chacao ;1;agosto-2026
2026;agosto;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;Sambil Chacao ;1;agosto-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTCA43TM] CLASICA DAILY 3.0 CAB (Negro, M);DAYCSTCA43TM;CAB;Negro;M;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTDA66TS] CLASICA DAILY 3.0 DAMA (Verde Militar, S);DAYCSTDA66TS;DAMA;Verde Militar;S;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTDA43TM] CLASICA DAILY 3.0 DAMA (Negro, M);DAYCSTDA43TM;DAMA;Negro;M;Sambil Valencia;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTCA43TL] CLASICA DAILY 3.0 CAB (Negro, L);DAYCSTCA43TL;CAB;Negro;L;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTDA66TS] CLASICA DAILY 3.0 DAMA (Verde Militar, S);DAYCSTDA66TS;DAMA;Verde Militar;S;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTDA43TS] CLASICA DAILY 3.0 DAMA (Negro, S);DAYCSTDA43TS;DAMA;Negro;S;La Grieta;1;julio-2026
2026;julio;CLASICA DAILY 3.0;[DAYCSTCA16TM] CLASICA DAILY 3.0 CAB (Blanco, M);DAYCSTCA16TM;CAB;Blanco;M;La Grieta;1;julio-2026
