Ubicación;Producto;SKU;MODELO;GENERO;TALLA;COLOR;Cantidad en inventario
SAMBIL;[JAPKI162T2] CUADRO JACKET 2.0 KIDS (2, Azul Polo);JAPKI162T2;CUADRO JACKET 2.0 KIDS;Kids;2;Azul Polo;1,00
SAMBIL;[JAPCA01TS] CUADRO JACKET 2.0 CAB (S, AGUAMARINA);JAPCA01TS;CUADRO JACKET 2.0 CAB;Caballero;S;Aguamarina;1,00
SAMBIL;[JAPCA16TXL] CUADRO JACKET 2.0 CAB (XL, BLANCO);JAPCA16TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Blanco;1,00
SAMBIL;[JAPKI43T2] CUADRO JACKET 2.0 KIDS (2, NEGRO);JAPKI43T2;CUADRO JACKET 2.0 KIDS;Kids;2;Negro;1,00
SAMBIL;[JAPKI35T4] CUADRO JACKET 2.0 KIDS (4, Magenta);JAPKI35T4;CUADRO JACKET 2.0 KIDS;Kids;4;Magenta;1,00
SAMBIL;[JAPCA66TS] CUADRO JACKET 2.0 CAB (S, VERDE MILITAR);JAPCA66TS;CUADRO JACKET 2.0 CAB;Caballero;S;Verde Militar;1,00
SAMBIL;[JAPCA01TM] CUADRO JACKET 2.0 CAB (M, AGUAMARINA);JAPCA01TM;CUADRO JACKET 2.0 CAB;Caballero;M;Aguamarina;1,00
SAMBIL;[JAPKI01T6] CUADRO JACKET 2.0 KIDS (6, AGUAMARINA);JAPKI01T6;CUADRO JACKET 2.0 KIDS;Kids;6;Aguamarina;1,00
SAMBIL;[JAPKI01T4] CUADRO JACKET 2.0 KIDS (4, AGUAMARINA);JAPKI01T4;CUADRO JACKET 2.0 KIDS;Kids;4;Aguamarina;1,00
SAMBIL;[JAPCA66TXL] CUADRO JACKET 2.0 CAB (XL, VERDE MILITAR);JAPCA66TXL;CUADRO JACKET 2.0 CAB;Caballero;XL;Verde Militar;1,00
SAMBIL;[JAPKI01T2] CUADRO JACKET 2.0 KIDS (2, AGUAMARINA);JAPKI01T2;CUADRO JACKET 2.0 KIDS;Kids;2;Aguamarina;1,00
SAMBIL;[JAPCA43T2XL] CUADRO JACKET 2.0 CAB (2XL, NEGRO);JAPCA43T2XL;CUADRO JACKET 2.0 CAB;Caballero;2XL;Negro;1,00
SAMBIL;[JAPDA35TXL] CUADRO JACKET 2.0 DAMA (XL, Magenta);JAPDA35TXL;CUADRO JACKET 2.0 DAMA;Dama;XL;Magenta;1,00
SAMBIL;[JAPDA35TM] CUADRO JACKET 2.0 DAMA (M, Magenta);JAPDA35TM;CUADRO JACKET 2.0 DAMA;Dama;M;Magenta;1,00
SAMBIL;[JAPDA66TL] CUADRO JACKET 2.0 DAMA (L, VERDE MILITAR);JAPDA66TL;CUADRO JACKET 2.0 DAMA;Dama;L;Verde Militar;1,00
SAMBIL;[JAPDA162TL] CUADRO JACKET 2.0 DAMA (L, Azul Polo);JAPDA162TL;CUADRO JACKET 2.0 DAMA;Dama;L;Azul Polo;1,00
SAMBIL;[JAPDA35TL] CUADRO JACKET 2.0 DAMA (L, Magenta);JAPDA35TL;CUADRO JACKET 2.0 DAMA;Dama;L;Magenta;2,00
