Ubicación;Producto;SKU;MODELO;GENERO;COLOR;TALLA;Cantidad en inventario
CHACAO;[BAPCCDA43TXS] BASIC LINE PANT DAMA (Black, XS);BAPCCDA43TXS;BASIC LINE PANT;DAMA;Black;XS;5
CHACAO;[BAPCCDA43TL] BASIC LINE PANT DAMA (Black, L);BAPCCDA43TL;BASIC LINE PANT;DAMA;Black;L;1
CHACAO;[BAPCCDA43TXL] BASIC LINE PANT DAMA (Black, XL);BAPCCDA43TXL;BASIC LINE PANT;DAMA;Black;XL;3
CHACAO;[BAPCCDA184TXL] BASIC LINE PANT DAMA (Peanut, XL);BAPCCDA184TXL;BASIC LINE PANT;DAMA;Peanut;XL;4
CHACAO;[BASCCDA43TXS] BASIC LINE SHORT DAMA (Black, XS);BASCCDA43TXS;BASIC LINE SHORT;DAMA;Black;XS;7
CHACAO;[BASCCDA43TS] BASIC LINE SHORT DAMA (Black, S);BASCCDA43TS;BASIC LINE SHORT;DAMA;Black;S;3
CHACAO;[BASCCDA43TL] BASIC LINE SHORT DAMA (Black, L);BASCCDA43TL;BASIC LINE SHORT;DAMA;Black;L;3
CHACAO;[BASCCDA38TXS] BASIC LINE SHORT DAMA (Peanut, XS);BASCCDA38TXS;BASIC LINE SHORT;DAMA;Peanut;XS;2
CHACAO;[BASCCDA38TS] BASIC LINE SHORT DAMA (Peanut, S);BASCCDA38TS;BASIC LINE SHORT;DAMA;Peanut;S;3
CHACAO;[BASCCDA38TL] BASIC LINE SHORT DAMA (Peanut, L);BASCCDA38TL;BASIC LINE SHORT;DAMA;Peanut;L;3
CHACAO;[BASCCDA38TXL] BASIC LINE SHORT DAMA (Peanut, XL);BASCCDA38TXL;BASIC LINE SHORT;DAMA;Peanut;XL;1
GRANDPLAZ;[BACCCDA43TXS] BASIC LINE CROP TEE DAMA (Black, XS);BACCCDA43TXS;BASIC LINE CROP TEE;DAMA;Black;XS;1
GRANDPLAZ;[BACCCDA43TS] BASIC LINE CROP TEE DAMA (Black, S);BACCCDA43TS;BASIC LINE CROP TEE;DAMA;Black;S;1
GRANDPLAZ;[BACCCDA43TM] BASIC LINE CROP TEE DAMA (Black, M);BACCCDA43TM;BASIC LINE CROP TEE;DAMA;Black;M;1
GRANDPLAZ;[BACCCDA43TL] BASIC LINE CROP TEE DAMA (Black, L);BACCCDA43TL;BASIC LINE CROP TEE;DAMA;Black;L;1
GRANDPLAZ;[BACCCDA43TXL] BASIC LINE CROP TEE DAMA (Black, XL);BACCCDA43TXL;BASIC LINE CROP TEE;DAMA;Black;XL;1
GRANDPLAZ;[BACCCDA158TXS] BASIC LINE CROP TEE DAMA (Ivory, XS);BACCCDA158TXS;BASIC LINE CROP TEE;DAMA;Ivory;XS;1
GRANDPLAZ;[BACCCDA158TM] BASIC LINE CROP TEE DAMA (Ivory, M);BACCCDA158TM;BASIC LINE CROP TEE;DAMA;Ivory;M;1
GRANDPLAZ;[BACCCDA158TL] BASIC LINE CROP TEE DAMA (Ivory, L);BACCCDA158TL;BASIC LINE CROP TEE;DAMA;Ivory;L;1
GRANDPLAZ;[BACCCDA158TXL] BASIC LINE CROP TEE DAMA (Ivory, XL);BACCCDA158TXL;BASIC LINE CROP TEE;DAMA;Ivory;XL;1
GRANDPLAZ;[BACCCDA38TXS] BASIC LINE CROP TEE DAMA (Peanut, XS);BACCCDA38TXS;BASIC LINE CROP TEE;DAMA;Peanut;XS;1
GRANDPLAZ;[BACCCDA38TM] BASIC LINE CROP TEE DAMA (Peanut, M);BACCCDA38TM;BASIC LINE CROP TEE;DAMA;Peanut;M;1
GRANDPLAZ;[BACCCDA38TXL] BASIC LINE CROP TEE DAMA (Peanut, XL);BACCCDA38TXL;BASIC LINE CROP TEE;DAMA;Peanut;XL;1
GRANDPLAZ;[BAOCCCA43TXS] BASIC LINE OVERSIZED CAB (Black, XS);BAOCCCA43TXS;BASIC LINE OVERSIZED;CAB;Black;XS;1
GRANDPLAZ;[BAOCCCA43TS] BASIC LINE OVERSIZED CAB (Black, S);BAOCCCA43TS;BASIC LINE OVERSIZED;CAB;Black;S;2
GRANDPLAZ;[BAOCCCA43TXL] BASIC LINE OVERSIZED CAB (Black, XL);BAOCCCA43TXL;BASIC LINE OVERSIZED;CAB;Black;XL;1
GRANDPLAZ;[BAOCCCA43T2XL] BASIC LINE OVERSIZED CAB (Black, 2XL);BAOCCCA43T2XL;BASIC LINE OVERSIZED;CAB;Black;2XL;2
GRANDPLAZ;[BAOCCCA158TXS] BASIC LINE OVERSIZED CAB (Ivory, XS);BAOCCCA158TXS;BASIC LINE OVERSIZED;CAB;Ivory;XS;3
GRANDPLAZ;[BAOCCCA158TS] BASIC LINE OVERSIZED CAB (Ivory, S);BAOCCCA158TS;BASIC LINE OVERSIZED;CAB;Ivory;S;2
GRANDPLAZ;[BAOCCCA158TM] BASIC LINE OVERSIZED CAB (Ivory, M);BAOCCCA158TM;BASIC LINE OVERSIZED;CAB;Ivory;M;2
