ARTICULO_NORM,CATEGORIA,n_solicitudes,und_solicitadas,und_atendidas,und_no_disponible,n_atendidas,n_no_disponible,n_sin_estado,demanda_sem_max,n_sucursales,und_por_dia,und_por_semana,und_por_quincena,und_por_mes,pct_lineas_atendidas,pct_lineas_no_disponible,pct_und_atendidas,pct_und_no_disponible,senal_ruptura,pedido_semanal_sugerido,pedido_quincenal_sugerido,pedido_mensual_sugerido,MIN_und,MAX_und,ROP_und,Q_pedido_ref_mensual,GRUPO,demanda_sem_std,demanda_sem_prom,demanda_sem_mediana
GRAPAS,OFICINA,5.0,24.0,24.0,0.0,5.0,0.0,0.0,20.0,3.0,0.4,2.8000000000000003,6.0,12.0,1.0,0.0,1.0,0.0,BAJA,4,8,15,10,40,4,15,UNIFICADO,,2.8000000000000003,2.8000000000000003
PANO AMARILLO,LIMPIEZA E HIGIENE,8.0,22.0,10.0,12.0,3.0,5.0,0.0,5.0,4.0,0.36666666666666664,2.566666666666667,5.5,11.0,0.375,0.625,0.45454545454545453,0.5454545454545454,ALTA,5,8,15,3,15,4,15,UNIFICADO,,2.566666666666667,2.566666666666667
RESMA DE HOJAS BLANCAS,OFICINA,21.0,21.0,17.0,4.0,17.0,4.0,0.0,3.0,7.0,0.35,2.45,5.25,10.5,0.8095238095238095,0.19047619047619047,0.8095238095238095,0.19047619047619047,MEDIA,3,7,13,3,13,3,13,UNIFICADO,,2.45,2.45
CUTTERS (EXACTO),SUMINISTROS,10.0,21.0,21.0,0.0,10.0,0.0,0.0,9.0,4.0,0.35,2.45,5.25,10.5,1.0,0.0,1.0,0.0,BAJA,3,7,13,5,18,3,13,UNIFICADO,,2.45,2.45
ROLLO DE PUNTO DE VENTA PAQ 5 UNDS,SUMINISTROS,3.0,20.0,20.0,0.0,3.0,0.0,0.0,10.0,3.0,0.3333333333333333,2.3333333333333335,5.0,10.0,1.0,0.0,1.0,0.0,BAJA,3,6,12,5,20,3,12,UNIFICADO,,2.3333333333333335,2.3333333333333335
BATERIAS AAA,SUMINISTROS,13.0,18.0,17.0,1.0,12.0,1.0,0.0,4.0,5.0,0.3,2.1,4.5,9.0,0.9230769230769231,0.07692307692307693,0.9444444444444444,0.05555555555555555,BAJA,3,6,11,3,11,3,11,UNIFICADO,,2.1,2.1
CINTA DOBLE FAZ,OFICINA,13.0,18.0,3.0,15.0,3.0,10.0,0.0,5.0,5.0,0.3,2.1,4.5,9.0,0.23076923076923078,0.7692307692307693,0.16666666666666666,0.8333333333333334,ALTA,5,8,13,3,13,3,13,UNIFICADO,,2.1,2.1
PIQUETAS,SUMINISTROS,11.0,18.0,18.0,0.0,11.0,0.0,0.0,5.0,3.0,0.3,2.1,4.5,9.0,1.0,0.0,1.0,0.0,BAJA,3,6,11,3,11,3,11,UNIFICADO,,2.1,2.1
POST ITS,OFICINA,11.0,17.0,12.0,5.0,8.0,3.0,0.0,5.0,5.0,0.2833333333333333,1.9833333333333334,4.25,8.5,0.7272727272727273,0.2727272727272727,0.7058823529411765,0.29411764705882354,ALTA,5,8,12,3,12,3,12,UNIFICADO,,1.9833333333333334,1.9833333333333334
MARCADOR PERMANENTE PUNTA GRUESA,OFICINA,12.0,16.0,14.0,2.0,11.0,1.0,0.0,3.0,4.0,0.26666666666666666,1.8666666666666667,4.0,8.0,0.9166666666666666,0.08333333333333333,0.875,0.125,BAJA,3,5,10,2,10,3,10,UNIFICADO,,1.8666666666666667,1.8666666666666667
CINTA METRICA,SUMINISTROS,6.0,16.0,13.0,3.0,5.0,1.0,0.0,9.0,2.0,0.26666666666666666,1.8666666666666667,4.0,8.0,0.8333333333333334,0.16666666666666666,0.8125,0.1875,MEDIA,3,5,10,5,18,3,10,UNIFICADO,,1.8666666666666667,1.8666666666666667
LAVATODO,LIMPIEZA E HIGIENE,15.0,15.0,13.0,2.0,13.0,2.0,0.0,3.0,7.0,0.25,1.75,3.75,7.5,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,MEDIA,3,5,9,2,9,3,9,UNIFICADO,,1.75,1.75
ALCOHOL,LIMPIEZA E HIGIENE,12.0,12.0,12.0,0.0,12.0,0.0,0.0,3.0,4.0,0.2,1.4000000000000001,3.0,6.0,1.0,0.0,1.0,0.0,BAJA,2,4,8,2,8,2,8,UNIFICADO,,1.4000000000000001,1.4000000000000001
COLETO 3 RAYAS,LIMPIEZA E HIGIENE,6.0,12.0,11.0,1.0,5.0,1.0,0.0,4.0,3.0,0.2,1.4000000000000001,3.0,6.0,0.8333333333333334,0.16666666666666666,0.9166666666666666,0.08333333333333333,MEDIA,2,4,8,2,8,2,8,UNIFICADO,,1.4000000000000001,1.4000000000000001
ESPONJA,LIMPIEZA E HIGIENE,9.0,11.0,5.0,6.0,5.0,4.0,0.0,4.0,4.0,0.18333333333333332,1.2833333333333334,2.75,5.5,0.5555555555555556,0.4444444444444444,0.45454545454545453,0.5454545454545454,ALTA,4,6,8,2,8,2,8,UNIFICADO,,1.2833333333333334,1.2833333333333334
TIJERAS NUEVAS,OFICINA,7.0,11.0,11.0,0.0,7.0,0.0,0.0,3.0,4.0,0.18333333333333332,1.2833333333333334,2.75,5.5,1.0,0.0,1.0,0.0,BAJA,2,4,7,2,7,2,7,UNIFICADO,,1.2833333333333334,1.2833333333333334
BATERIAS AA,SUMINISTROS,9.0,9.0,9.0,0.0,9.0,0.0,0.0,1.0,5.0,0.15,1.05,2.25,4.5,1.0,0.0,1.0,0.0,BAJA,2,3,6,2,6,2,6,UNIFICADO,,1.05,1.05
PAPEL SANITARIO ROLLO 400 H,LIMPIEZA E HIGIENE,6.0,9.0,9.0,0.0,6.0,0.0,0.0,3.0,3.0,0.15,1.05,2.25,4.5,1.0,0.0,1.0,0.0,BAJA,2,3,6,2,6,2,6,UNIFICADO,,1.05,1.05
PINZA DE DEVASTADO,SUMINISTROS,5.0,9.0,9.0,0.0,5.0,0.0,0.0,4.0,1.0,0.15,1.05,2.25,4.5,1.0,0.0,1.0,0.0,BAJA,2,3,6,2,8,2,6,UNIFICADO,,1.05,1.05
GEL DE BANO,LIMPIEZA E HIGIENE,8.0,8.0,8.0,0.0,8.0,0.0,0.0,2.0,5.0,0.13333333333333333,0.9333333333333333,2.0,4.0,1.0,0.0,1.0,0.0,BAJA,2,3,5,1,5,2,5,UNIFICADO,,0.9333333333333333,0.9333333333333333
JABON LAS LLAVES PANELA 250 G,LIMPIEZA E HIGIENE,6.0,7.0,7.0,0.0,6.0,0.0,0.0,3.0,1.0,0.11666666666666667,0.8166666666666667,1.75,3.5,1.0,0.0,1.0,0.0,BAJA,1,3,5,2,6,1,5,UNIFICADO,,0.8166666666666667,0.8166666666666667
CINTA DE REGALO FUCSIA,SUMINISTROS,5.0,7.0,6.0,0.0,4.0,0.0,1.0,2.0,4.0,0.11666666666666667,0.8166666666666667,1.75,3.5,0.8,0.0,0.8571428571428571,0.0,BAJA,1,3,5,1,5,1,5,UNIFICADO,,0.8166666666666667,0.8166666666666667
CINTA DE REGALO AZUL REY,SUMINISTROS,4.0,7.0,5.0,0.0,3.0,0.0,1.0,3.0,4.0,0.11666666666666667,0.8166666666666667,1.75,3.5,0.75,0.0,0.7142857142857143,0.0,BAJA,1,3,5,2,6,1,5,UNIFICADO,,0.8166666666666667,0.8166666666666667
RESALTADOR FUCSIA,OFICINA,5.0,6.0,6.0,0.0,5.0,0.0,0.0,2.0,2.0,0.1,0.7000000000000001,1.5,3.0,1.0,0.0,1.0,0.0,BAJA,1,2,4,1,4,1,4,UNIFICADO,,0.7000000000000001,0.7000000000000001
MOUSE,EQUIPOS DE OFICINA,4.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,3.0,0.08333333333333333,0.5833333333333334,1.25,2.5,0.5,0.5,0.6,0.4,ALTA,3,5,6,2,6,1,6,UNIFICADO,,0.5833333333333334,0.5833333333333334
ROLLO DE PUNTO DE VENTA PAQ 10 UNDS,SUMINISTROS,4.0,5.0,4.0,0.0,3.0,0.0,1.0,3.0,2.0,0.08333333333333333,0.5833333333333334,1.25,2.5,0.75,0.0,0.8,0.0,BAJA,1,2,3,2,6,1,3,UNIFICADO,,0.5833333333333334,0.5833333333333334
CINTA DE REGALO BLANCO,SUMINISTROS,3.0,5.0,4.0,0.0,2.0,0.0,1.0,3.0,3.0,0.08333333333333333,0.5833333333333334,1.25,2.5,0.6666666666666666,0.0,0.8,0.0,BAJA,1,2,3,2,6,1,3,UNIFICADO,,0.5833333333333334,0.5833333333333334
GANCHOS PARA CARPETA,OFICINA,3.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,1.0,0.08333333333333333,0.5833333333333334,1.25,2.5,1.0,0.0,1.0,0.0,BAJA,1,2,3,2,6,1,3,UNIFICADO,,0.5833333333333334,0.5833333333333334
REMOVEDOR VINIL,SUMINISTROS,3.0,5.0,5.0,0.0,3.0,0.0,0.0,3.0,1.0,0.08333333333333333,0.5833333333333334,1.25,2.5,1.0,0.0,1.0,0.0,BAJA,1,2,3,2,6,1,3,UNIFICADO,,0.5833333333333334,0.5833333333333334
GASA ESTERIL MEDAID,INSUMOS MEDICOS,1.0,5.0,5.0,0.0,1.0,0.0,0.0,5.0,1.0,0.08333333333333333,0.5833333333333334,1.25,2.5,1.0,0.0,1.0,0.0,BAJA,1,2,3,3,10,1,3,UNIFICADO,,0.5833333333333334,0.5833333333333334
MARCADOR ACRILICO,OFICINA,4.0,4.0,4.0,0.0,4.0,0.0,0.0,2.0,3.0,0.06666666666666667,0.4666666666666667,1.0,2.0,1.0,0.0,1.0,0.0,BAJA,1,2,3,1,4,1,3,UNIFICADO,,0.4666666666666667,0.4666666666666667
RESALTADOR AMARILLO,OFICINA,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.4666666666666667,1.0,2.0,1.0,0.0,1.0,0.0,BAJA,1,2,3,1,3,1,3,UNIFICADO,,0.4666666666666667,0.4666666666666667
RESALTADOR AZUL,OFICINA,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,0.06666666666666667,0.4666666666666667,1.0,2.0,1.0,0.0,1.0,0.0,BAJA,1,2,3,1,3,1,3,UNIFICADO,,0.4666666666666667,0.4666666666666667
RESALTADOR NARANJA,OFICINA,4.0,4.0,4.0,0.0,4.0,0.0,0.0,1.0,2.0,0.06666666666666667,0.4666666666666667,1.0,2.0,1.0,0.0,1.0,0.0,BAJA,1,2,3,1,3,1,3,UNIFICADO,,0.4666666666666667,0.4666666666666667
MOUSE PAD,EQUIPOS DE OFICINA,2.0,4.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.06666666666666667,0.4666666666666667,1.0,2.0,0.0,0.5,0.0,0.75,ALTA,3,5,6,2,6,1,6,UNIFICADO,,0.4666666666666667,0.4666666666666667
BOLSAS GRANDES NAVIDAD 2024,SUMINISTROS,3.0,3.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,2,6,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
CARPETAS MARRONES CARTA,OFICINA,3.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,1.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
KIT DE OFICINA (MAUSE Y TECLADO),EQUIPOS DE OFICINA,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,2,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
LIMPIA PORCELANA,LIMPIEZA E HIGIENE,3.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
PRIDE,SUMINISTROS,3.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
RESALTADOR AZUL PUNTA FINA,OFICINA,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,2,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
TIZA LIQUIDA,OFICINA,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,1.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,2,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
VENSOL,LIMPIEZA E HIGIENE,3.0,3.0,3.0,0.0,3.0,0.0,0.0,2.0,3.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
CUADERNOS,OFICINA,2.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,0.05,0.35000000000000003,0.75,1.5,0.5,0.5,0.6666666666666666,0.3333333333333333,ALTA,2,3,4,1,4,1,4,UNIFICADO,,0.35000000000000003,0.35000000000000003
EXTENSION NARANJA,EQUIPOS DE OFICINA,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,0.05,0.35000000000000003,0.75,1.5,0.5,0.0,0.6666666666666666,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
JABON LAS LLAVES POLVO 900 G,LIMPIEZA E HIGIENE,2.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
LIQUI PAPER CORRECTOR,OFICINA,2.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.05,0.35000000000000003,0.75,1.5,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.35000000000000003,0.35000000000000003
CEPILLO DE BARRER,LIMPIEZA E HIGIENE,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,1.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,4,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
CEPILLO DE MANO,LIMPIEZA E HIGIENE,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.03333333333333333,0.23333333333333334,0.5,1.0,1.0,0.0,1.0,0.0,BAJA,1,1,2,1,2,1,2,UNIFICADO,,0.23333333333333334,0.23333333333333334
