Ubicaci�n;SKU;MODELO;VARIANTE;Color ;Talla / CARACTERISICA;Cantidad en inventario
CHACAO;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;13,00
CHACAO;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;3,00
CHACAO;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;3,00
CHACAO;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;3,00
CHACAO;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;2,00
CHACAO;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;3,00
CHACAO;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;3,00
CHACAO;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;3,00
CHACAO;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;11,00
CHACAO;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;5,00
CHACAO;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;10,00
CHACAO;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;9,00
CHACAO;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;1,00
CHACAO;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;1,00
CHACAO;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;1,00
CHACAO;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;1,00
CHACAO;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;1,00
CHACAO;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;3,00
TOLON;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;14,00
TOLON;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;14,00
TOLON;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;15,00
TOLON;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;14,00
TOLON;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;11,00
TOLON;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;9,00
TOLON;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;13,00
TOLON;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;14,00
TOLON;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;14,00
TOLON;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;7,00
TOLON;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;8,00
TOLON;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;5,00
TOLON;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;8,00
TOLON;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;14,00
TOLON;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;17,00
TOLON;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;11,00
TOLON;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;13,00
TOLON;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;5,00
TOLON;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;6,00
TOLON;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;1,00
TOLON;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00
TOLON;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;1,00
TOLON;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;1,00
TOLON;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;1,00
TOLON;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;1,00
TOLON;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;7,00
TOLON;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;3,00
TOLON;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;11,00
TOLON;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;4,00
TOLON;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;2,00
TOLON;CIT166CIB;CITYBAG;[CIT166CIB] CITYBAG (Gris);Gris;�nica;4,00
TOLON;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;3,00
TOLON;CIT12CIB;CITYBAG;[CIT12CIB] CITYBAG (Azul Marino);Azul Marino;�nica;3,00
TOLON;CIT70CIB;CITYBAG;[CIT70CIB] CITYBAG (Vinotinto);Vinotinto;�nica;4,00
TOLON;CAVAP15135L;CAVAPACK 35L;[CAVAP15135L] CAVAPACK 35L (Azul);Azul;35L;3,00
TOLON;BAC33BF;BACKPACK FLEX;[BAC33BF] BACKPACK FLEX (Kaki);Kaki;�nica;3,00
TOLON;BAC43BF;BACKPACK FLEX;[BAC43BF] BACKPACK FLEX (Negro);Negro;�nica;3,00
TOLON;BAC13BF;BACKPACK FLEX;[BAC13BF] BACKPACK FLEX (Azul Rey);Azul Rey;�nica;3,00
TOLON;CIT152CIB;CITYBAG;[CIT152CIB] CITYBAG (Verde);Verde;�nica;3,00
GRANDPLAZ;EC175UN;ECO BAG;[EC175UN] ECO BAG (Daily/Negro);Negro;�nica;13,00
GRANDPLAZ;EC176UN;ECO BAG;[EC176UN] ECO BAG (Ondas/Verde);Verde;�nica;4,00
GRANDPLAZ;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;5,00
GRANDPLAZ;EC172UN;ECO BAG;[EC172UN] ECO BAG (Made in Venezuela/Verde);Verde;�nica;4,00
GRANDPLAZ;EC173UN;ECO BAG;[EC173UN] ECO BAG (Palmeras/Azul);Azul;�nica;4,00
GRANDPLAZ;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro);Gris Claro;Kids;3,00
GRANDPLAZ;PONC151EQ;PONCHO ADULTO;[PONC151EQ] PONCHO ADULTO (AZUL);Azul;Adulto;3,00
GRANDPLAZ;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;3,00
GRANDPLAZ;PONC43EQ;PONCHO KIDS;[PONC43EQ] PONCHO KIDS (Negro);Negro;Kids;3,00
GRANDPLAZ;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo);Azul Cielo;Kids;3,00
GRANDPLAZ;PONC152EQ;PONCHO ADULTO;[PONC152EQ] PONCHO ADULTO (VERDE);Verde;Adulto;3,00
GRANDPLAZ;PONC12EQ;PONCHO KIDS;[PONC12EQ] PONCHO KIDS (Azul Marino);Azul Marino;Kids;3,00
GRANDPLAZ;PONC01EQ;PONCHO ADULTO;[PONC01EQ] PONCHO ADULTO (AGUAMARINA);Aguamarina;Adulto;3,00
GRANDPLAZ;EC174UN;ECO BAG;[EC174UN] ECO BAG (Ovalo/Azul);Azul;�nica;2,00
GRANDPLAZ;CAVAP4335L;CAVAPACK 35L;[CAVAP4335L] CAVAPACK 35L (Negro);Negro;35L;2,00
