Fecha de la orden;SKU;Modelo;Producto;Color;Talla;Cant. ordenada;Vendedor;FECHA
20/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Valencia;julio-2025
21/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Sambil Valencia;julio-2025
22/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Cerro Verde ;julio-2025
22/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;julio-2025
24/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;julio-2025
24/07/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;Sambil Chacao ;julio-2025
25/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Grandplaz ;julio-2025
25/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;La Grieta;julio-2025
25/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Sambil Valencia;julio-2025
26/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;julio-2025
26/07/2025;PONKI30EQ;PONCHO KIDS;[PONKI30EQ] PONCHO KIDS (Gris Claro - 9734);Gris Claro;Kids;1,00;La Grieta;julio-2025
26/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;Sambil Valencia;julio-2025
26/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;-1,00;La Grieta;julio-2025
26/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;julio-2025
26/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;-1,00;La Grieta;julio-2025
26/07/2025;PONKI35EQ;PONCHO KIDS;[PONKI35EQ] PONCHO KIDS (Magenta);Magenta;Kids;1,00;La Grieta;julio-2025
27/07/2025;PONKI63EQ;PONCHO KIDS;[PONKI63EQ] PONCHO KIDS (Verde Agua);Verde Agua;Kids;1,00;Sambil Valencia;julio-2025
28/07/2025;PONKI09EQ;PONCHO KIDS;[PONKI09EQ] PONCHO KIDS (Azul Cielo - 52013);Azul Cielo;Kids;1,00;Cerro Verde ;julio-2025
