Ubicaci�n;Producto;SKU;MODELO;COLOR;TALLA;Cantidad en inventario
SAMBIL;[POLPLCA12TM] CLASSIC POLO (Azul Marino, M);POLPLCA12TM;CLASSIC POLO;Azul Marino;M;2,00
SAMBIL;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;6,00
SAMBIL;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;6,00
SAMBIL;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;3,00
SAMBIL;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;7,00
SAMBIL;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;4,00
SAMBIL;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;4,00
SAMBIL;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;2,00
SAMBIL;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;3,00
SAMBIL;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;1,00
SAMBIL;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;1,00
SAMBIL;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;1,00
SAMBIL;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;1,00
SAMBIL;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;1,00
SAMBIL;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;2,00
SAMBIL;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;1,00
SAMBIL;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;1,00
SAMBIL;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;1,00
SAMBIL;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;1,00
SAMBIL;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;1,00
TALLER;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;39,00
TALLER;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;24,00
TALLER;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;15,00
TALLER;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;3,00
TALLER;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;58,00
TALLER;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;48,00
TALLER;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;49,00
TALLER;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;1,00
TALLER;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;22,00
TALLER;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;22,00
TALLER;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;73,00
TALLER;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;30,00
TALLER;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;26,00
TALLER;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;7,00
TALLER;[POLPLCA33TXL] CLASSIC POLO (Beige, XL);POLPLCA33TXL;CLASSIC POLO;Beige;XL;0,00
TOLON;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;10,00
TOLON;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;6,00
TOLON;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;9,00
TOLON;[POLPLCA14TXL] CLASSIC POLO (Azul Turquesa, XL);POLPLCA14TXL;CLASSIC POLO;Azul Turquesa;XL;6,00
TOLON;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;9,00
TOLON;[POLPLCA14TS] CLASSIC POLO (Azul Turquesa, S);POLPLCA14TS;CLASSIC POLO;Azul Turquesa;S;3,00
TOLON;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;9,00
TOLON;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;8,00
TOLON;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;9,00
TOLON;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;6,00
TOLON;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;6,00
TOLON;[POLPLCA33TM] CLASSIC POLO (Beige, M);POLPLCA33TM;CLASSIC POLO;Beige;M;7,00
TOLON;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;9,00
TOLON;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;6,00
TOLON;[POLPLCA30TM] CLASSIC POLO (Gris Claro, M);POLPLCA30TM;CLASSIC POLO;Gris Claro;M;6,00
TOLON;[POLPLCA14T2XL] CLASSIC POLO (Azul Turquesa, 2XL);POLPLCA14T2XL;CLASSIC POLO;Azul Turquesa;2XL;-1,00
TOLON;[POLPLCA16TS] CLASSIC POLO (Blanco, S);POLPLCA16TS;CLASSIC POLO;Blanco;S;2,00
TOLON;[POLPLCA30TS] CLASSIC POLO (Gris Claro, S);POLPLCA30TS;CLASSIC POLO;Gris Claro;S;1,00
TOLON;[POLPLCA33TS] CLASSIC POLO (Beige, S);POLPLCA33TS;CLASSIC POLO;Beige;S;2,00
TOLON;[POLPLCA33TL] CLASSIC POLO (Beige, L);POLPLCA33TL;CLASSIC POLO;Beige;L;2,00
TOLON;[POLPLCA50TM] CLASSIC POLO (Rojo, M);POLPLCA50TM;CLASSIC POLO;Rojo;M;2,00
TOLON;[POLPLCA50TS] CLASSIC POLO (Rojo, S);POLPLCA50TS;CLASSIC POLO;Rojo;S;2,00
TOLON;[POLPLCA50TL] CLASSIC POLO (Rojo, L);POLPLCA50TL;CLASSIC POLO;Rojo;L;1,00
TOLON;[POLPLCA50TXL] CLASSIC POLO (Rojo, XL);POLPLCA50TXL;CLASSIC POLO;Rojo;XL;2,00
TOLON;[POLPLCA50T2XL] CLASSIC POLO (Rojo, 2XL);POLPLCA50T2XL;CLASSIC POLO;Rojo;2XL;1,00
TOLON;[POLPLCA12TS] CLASSIC POLO (Azul Marino, S);POLPLCA12TS;CLASSIC POLO;Azul Marino;S;2,00
TOLON;[POLPLCA14TM] CLASSIC POLO (Azul Turquesa, M);POLPLCA14TM;CLASSIC POLO;Azul Turquesa;M;2,00
TOLON;[POLPLCA14TL] CLASSIC POLO (Azul Turquesa, L);POLPLCA14TL;CLASSIC POLO;Azul Turquesa;L;2,00
