Fecha de la orden;SKU;Variante del producto;MODELO;COLOR;TALLA;Cant. ordenada;UBICACI�N;FECHA
15/06/2025;POLPLCA12TXL;[POLPLCA12TXL] CLASSIC POLO (XL, Azul Marino - Acero);CLASSIC POLO;Azul Marino;XL;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA33TL;[POLPLCA33TL] CLASSIC POLO (L, Beige - Oxford Tan);CLASSIC POLO;Beige;L;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA16TM;[POLPLCA16TM] CLASSIC POLO (M, Blanco - Blanco);CLASSIC POLO;Blanco;M;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA33TM;[POLPLCA33TM] CLASSIC POLO (M, Beige - Oxford Tan);CLASSIC POLO;Beige;M;-1,00;La Grieta;junio-2025
15/06/2025;POLPLCA33TL;[POLPLCA33TL] CLASSIC POLO (L, Beige - Oxford Tan);CLASSIC POLO;Beige;L;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA50TL;[POLPLCA50TL] CLASSIC POLO (L, Rojo - Rush);CLASSIC POLO;Rojo;L;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA14T2XL;[POLPLCA14T2XL] CLASSIC POLO (2XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;2XL;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA50TXL;[POLPLCA50TXL] CLASSIC POLO (XL, Rojo - Rush);CLASSIC POLO;Rojo;XL;2,00;La Grieta;junio-2025
15/06/2025;POLPLCA14TL;[POLPLCA14TL] CLASSIC POLO (L, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;L;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA33TL;[POLPLCA33TL] CLASSIC POLO (L, Beige - Oxford Tan);CLASSIC POLO;Beige;L;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA33TM;[POLPLCA33TM] CLASSIC POLO (M, Beige - Oxford Tan);CLASSIC POLO;Beige;M;1,00;La Grieta;junio-2025
15/06/2025;POLPLCA14TL;[POLPLCA14TL] CLASSIC POLO (L, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;L;1,00;La Grieta;junio-2025
16/06/2025;POLPLCA30TL;[POLPLCA30TL] CLASSIC POLO (L, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;L;-1,00;La Grieta;junio-2025
16/06/2025;POLPLCA14TXL;[POLPLCA14TXL] CLASSIC POLO (XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;XL;1,00;La Grieta;junio-2025
16/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
16/06/2025;POLPLCA14TM;[POLPLCA14TM] CLASSIC POLO (M, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;M;1,00;La Grieta;junio-2025
16/06/2025;POLPLCA50TL;[POLPLCA50TL] CLASSIC POLO (L, Rojo - Rush);CLASSIC POLO;Rojo;L;1,00;La Grieta;junio-2025
17/06/2025;POLPLCA14TL;[POLPLCA14TL] CLASSIC POLO (L, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;L;-1,00;La Grieta;junio-2025
17/06/2025;POLPLCA14TXL;[POLPLCA14TXL] CLASSIC POLO (XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;XL;1,00;La Grieta;junio-2025
17/06/2025;POLPLCA50TM;[POLPLCA50TM] CLASSIC POLO (M, Rojo - Rush);CLASSIC POLO;Rojo;M;1,00;La Grieta;junio-2025
17/06/2025;POLPLCA14T2XL;[POLPLCA14T2XL] CLASSIC POLO (2XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;2XL;1,00;La Grieta;junio-2025
17/06/2025;POLPLCA30TS;[POLPLCA30TS] CLASSIC POLO (S, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;S;1,00;La Grieta;junio-2025
18/06/2025;POLPLCA33T2XL;[POLPLCA33T2XL] CLASSIC POLO (2XL, Beige - Oxford Tan);CLASSIC POLO;Beige;2XL;1,00;La Grieta;junio-2025
19/06/2025;POLPLCA14TXL;[POLPLCA14TXL] CLASSIC POLO (XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;XL;1,00;La Grieta;junio-2025
19/06/2025;POLPLCA16TS;[POLPLCA16TS] CLASSIC POLO (S, Blanco - Blanco);CLASSIC POLO;Blanco;S;1,00;La Grieta;junio-2025
19/06/2025;POLPLCA30TL;[POLPLCA30TL] CLASSIC POLO (L, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;L;1,00;La Grieta;junio-2025
19/06/2025;POLPLCA14TM;[POLPLCA14TM] CLASSIC POLO (M, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;M;5,00;La Grieta;junio-2025
20/06/2025;POLPLCA33TL;[POLPLCA33TL] CLASSIC POLO (L, Beige - Oxford Tan);CLASSIC POLO;Beige;L;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA30TL;[POLPLCA30TL] CLASSIC POLO (L, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;L;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA50T2XL;[POLPLCA50T2XL] CLASSIC POLO (2XL, Rojo - Rush);CLASSIC POLO;Rojo;2XL;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA14T2XL;[POLPLCA14T2XL] CLASSIC POLO (2XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;2XL;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA30T2XL;[POLPLCA30T2XL] CLASSIC POLO (2XL, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;2XL;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA33T2XL;[POLPLCA33T2XL] CLASSIC POLO (2XL, Beige - Oxford Tan);CLASSIC POLO;Beige;2XL;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA50TXL;[POLPLCA50TXL] CLASSIC POLO (XL, Rojo - Rush);CLASSIC POLO;Rojo;XL;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA16TM;[POLPLCA16TM] CLASSIC POLO (M, Blanco - Blanco);CLASSIC POLO;Blanco;M;-1,00;La Grieta;junio-2025
20/06/2025;POLPLCA12TM;[POLPLCA12TM] CLASSIC POLO (M, Azul Marino - Acero);CLASSIC POLO;Azul Marino;M;-1,00;La Grieta;junio-2025
20/06/2025;POLPLCA30TL;[POLPLCA30TL] CLASSIC POLO (L, Gris Claro - Plomo Plata);CLASSIC POLO;Gris Claro;L;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;1,00;La Grieta;junio-2025
20/06/2025;POLPLCA14T2XL;[POLPLCA14T2XL] CLASSIC POLO (2XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;2XL;1,00;La Grieta;junio-2025
21/06/2025;POLPLCA12TL;[POLPLCA12TL] CLASSIC POLO (L, Azul Marino - Acero);CLASSIC POLO;Azul Marino;L;-1,00;La Grieta;junio-2025
21/06/2025;POLPLCA14TXL;[POLPLCA14TXL] CLASSIC POLO (XL, Azul Turquesa - Azul Turquesa);CLASSIC POLO;Azul Turquesa;XL;1,00;La Grieta;junio-2025
21/06/2025;POLPLCA33TL;[POLPLCA33TL] CLASSIC POLO (L, Beige - Oxford Tan);CLASSIC POLO;Beige;L;1,00;La Grieta;junio-2025
21/06/2025;POLPLCA33TXL;[POLPLCA33TXL] CLASSIC POLO (XL, Beige - Oxford Tan);CLASSIC POLO;Beige;XL;1,00;La Grieta;junio-2025
21/06/2025;POLPLCA16TS;[POLPLCA16TS] CLASSIC POLO (S, Blanco - Blanco);CLASSIC POLO;Blanco;S;1,00;La Grieta;junio-2025
22/06/2025;POLPLCA33TM;[POLPLCA33TM] CLASSIC POLO (M, Beige - Oxford Tan);CLASSIC POLO;Beige;M;1,00;La Grieta;junio-2025
23/06/2025;POLPLCA16TM;[POLPLCA16TM] CLASSIC POLO (M, Blanco - Blanco);CLASSIC POLO;Blanco;M;1,00;La Grieta;junio-2025
